id,control,input,output
yelp_train_612240,Positive,,This place is amazing! The foam pit is so much fun. I love playing the basketball trampoline version. I don't really like the dodgeball to much because it kind of gets out of hand. I do and don't like how they sectioned off the main trampoline for free jump. Its done by height!?!? I am a teen and I am short for my age. I really wanted to jump with my dad (we went together) but I couldn't because I was just under the height to jump on the adult side. I mean come on really they wouldn't let me. I was like two inches under the height limit. I guess its good though so small kids won't get trampled by adults. Over all a very fun experiance. Also the place is fully air conditioned! That is for sure a plus. There is also a nice seating area for parents and others who need to take a break or don't want to jump. If you get hungry there is a snack bar and they have lots of good snacks to choose from. I would totally reccomend going. Also the staff is very nice and very good with kids.
yelp_train_292611,Positive,I,"really wish I could give it 5 stars, but it wasn't completely a 5 star experience, unfortunately. Do not get me wrong, this is a BEAUTIFUL hotel. The entry with the fountains and the super high ceilings reminded us a little of the Atlantis resort in the Bahamas.  The service is impeccable. The second you step out of your cab, you are greeted by a friendly bellman that whisks your bags away to have them sent up to your room. When you reach the bank of check-in desks, there are two people there waiting to escort you to the next available attendant. Superb service. High speed elevators shoot you up to your floor. We were on the 39th floor and it couldn't have taken more than 20 seconds to get to the floor from the casino level.  We had some difficulty getting our Jersey Boys emblazoned room key to work, but after about five tries, we figured out how to get it to read the card properly. The room layout is identical to the Venetian, but with more updated decor and LG HD flat screen televisions in the bathroom, bedroom and living area. I LOVED the automatic shades on the windows. Plush robes and towels, decent bath amenities, including bath salts for the tub.  The reason for the star downgrade. For a hotel that has been open merely a few months, I did not expect to find bolts in the wall instead of a toilet paper holder, smudges on the white cotton bathroom mat, scuffs on the walls, stains on the sofa and MULTIPLE broken drawer handles on the various pieces of furniture.... that did not scream five star hotel to me in the least. I thought Palazzo might overtake Venetian as my favorite hotel in Vegas, but it didn't quite do that. The two hotels are connected and it's very easy to get to and from each hotel, which is a huge plus. The common areas of the Palazzo are extremely elegant and airy. Even when there are a lot of people in the casino, we didn't feel overly cramped. The shopping area was a ghost town while we were there.... The pool area feels small, but is actually segregated into about 3 or 4 different pool areas. Each bungalow is appointed with rattan sofas and flat screen televisions. There is a walkway that connects to the Venetian pools and Tao Beach. In the morning, the only pool area in the Palazzo that gets sunlight is closer to the Venetian and right now, you're staring right at building construction and hearing it, too....Not very pleasant. They're still doing quite a bit of construction, it doesn't seem like the Canyon Ranch Spa is 100% completed and not all of the stores are open yet....hopefully on a future visit, they'll be more established and I'll have an even more enjoyable experience."
yelp_train_446815,Positive,$25 dollars for,a SPA pedicure + immaculate and modern decor + riendly and wonderful staff + an impeccable pedicure = my new nail spot!  Only has opened for 6 months. They are closed at 9pm and located on Las Vegas Blvd in front of outlet mall. They did a wonderful job and worth the drive!
yelp_train_262397,Negative,Cab driver (Michel R.,"Moreno) picks up me and a friend at the airport. He takes the long way to the strip (not really a surprise -- my fault for not being clued into his tricks). Then, while driving erratically and at too high a rate of speed, Michel realizes he is about to miss the right exit. He changes lanes without looking and clips the back of a car in the right lane. The accident was clearly the cab driver's fault. Well, now the cab driver is angry. I kinda want to cut him some slack because yeah, now his day is pretty much ruined. But he's not only mad at the driver of the car HE just hit, he's mad at me and my friend because after 15 minutes of waiting for his supervisor to arrive, we tell him we don't want to wait for his supervisor, we just want to get to our hotel. It gets worse. Michel insisted that we pay. I know this may be hard to believe. But in his broken English, Michel made it very clear that we MUST pay for this ride. He said we \""can't get something for free.\"" I didn't want to fight with the guy so I paid. The supervisor said later we would be refunded (still hasn't happened). It was a really awkward experience. I honestly would have felt safer in an Uber driven by a 17 year old who had had a few beers."
yelp_train_165848,Positive,Stayed on 9/4/14,"for family gathering. Got a great deal on Hotels . com and got room upgrade for using my Amex. Room was nice, hotel staff was informative and I cant wait to return for a longer stay. This also is an apparent magnet for the young and drunk as they seem to be everywhere you look."
yelp_train_618788,Positive,I've been here a,"few times to meet up with friends for drinks. 16 taps of decent craft beers at moderate prices, good service and pleasant crowd. St Pat's Party this year brought me in originally and the great experience each time brings me back. I went this past Tuesday for Free Wing night and saw a different side of Jamison's. It wasn't overly busy, which for free wings surprised me, and seemed very laid back. I met up with a friend there and after a few tweets more showed up. This is the the kind of place I can go to kick back and watch a game and chill and then come back on the weekend and turn it up a notch.  Now for the food. Most bars on free wing night tend to downgrade the quality of wings or don't put much effort into it. Not here. Hearty wings and cooked perfect. The deal is you get 5 free wings for your first drink, 5 free for your second drink, and then $.35 each after that. You can easily come out spending less than $20 and I wasn't buying macro beers either. Come with friends and you can have all of the flavors. I had Chipotle BBQ which was sweet and backed more heat than their hottest wing, Garlic Parm which was well balanced on the garlic and parm, Buffalo Ranch could have used a little more sauce but I like my ranch wings sloppy. Overall this is a gem in Dormont you seriously need to consider and I can't thank my friend enough for turning me on to them. they get 5 stars not for one thing but bringing enjoyment at everything. I've also seen the intense bacon menu they bring and one table ordered burgers that looked immense. I'm ready to go back now!"
yelp_train_471995,Positive,,"OMG this was a great choice on my behalf - and it didn't hurt that they take OpenTable reservations!  The restaurant is really nicely decorated and it has a warm cozy feel to it - even the restroom was nice! Our waitress, Brenda was very friendly and delivered great service! She was totally on top of everything and kept checking in on us as we had a lazy lunch. My BF had one of their waffle sandwiches that had turkey, bacon, & avocado - which was actually very delicious (of course I had to sample!) and I had the Huevos Rancheros Breakfast Burrito that was just as tasty! We didn't try any of their specialty chocolate/dessert based drinks. But we did stop by their gift shop (we got a 10% off coupon) and I bought a few gifts for friends."
yelp_train_648731,Positive,The sushi is,"great! Not expensive & good quality. My favorite rolles are the Vegas, Dragon, and the baked scallops :)"
yelp_train_472249,Positive,So my daughter,"loves fish. Been to the Shark Reef enough to yawn before I get to the stingrays..so I read reviews on this and due to some assumption on my part, thought this was a full aquarium, meaning a sizable display of fish. When I got there i looked like a complete butt hole, the aqurium you se on the pics IS the aquarium! Start/Finish. Luckily for me the fish are so huge and vivid it scared my daughter a little and she didn't want to see too much more than that anyways! Booya! Missed the feedings too, epic fail by daddy but it all worked out in the end"
yelp_train_614403,Negative,Einfach,"grausam. Volles Restaurant, alle Tische und Pl\u00e4tze am Sushi-Band belegt und es fahren die gleichen 5 Tellerchen durch die Gegend. Die Qualit\u00e4t als ausreichend (also 4) zu beschreibend w\u00e4re ein Kompliment. Billigste \""Sushi\"" (Tunfisch habe ich heute nicht gesehen), trockene sepia daf\u00fcr auf jedem zweiten Tellerchen und massenhaft Tofu. Lange nicht mehr hier gewesen und es war definitiv das letzte mal."
yelp_train_214814,Negative,First of,"all I want to make sure to mention that the service was fantastic and that I could not have asked for a more polite and professional service. Haus Murphy's food is okay at best and honestly I would not choose to return for dinner or lunch. I ordered the cheese-spread as an appetizer and the rye-bread that came with it was dry and old. The Jaegerschnitzel and the fried postatoes were okay, but the corn chowder was absolutely terrible. If you are looking for a fun place to have a beer, this would be a good place to go, but dinner or lunch I would not recommend at Murphy's Haus."
yelp_train_249397,Negative,I don't know how or,"why this place is rated so high. I've eaten at the other Brothers in Goodyear and mistakenly ordered from here. Cheap cheese and sauce out a can, not mention the ranch dressing resembled peppered milk."
yelp_train_123391,Positive,,"Besides the fact they take awhile to bring your food, I love this place. Me and friends come here all the time when we're craving Chinese food. Delicious !!"
yelp_train_327247,Negative,,"Villalpando's is an ok place to have Mexican food. My lunch buddy and I go there often when we want a home cooked mexican meal. It's not spectacular, it's not bad. It's just ok. I usually get the green chile dinner. The meat is tender and it comes with rice, beans and 3 flour tortillas. My friend usually gets a chile relleno. She likes theirs because they aren't breaded and fried. So if you want simple, no frills, non-chain mexican food, hit up Villalpando's."
yelp_train_345325,Negative,,"I like their smoothies but their wraps and sandwiches are always inconsistent and pretty pathetic. Portion sizes and ingredients change time to time. For the price you pay for the sandwiches and wraps, totally not worth it. I'll just go there for smoothies if I guess..."
yelp_train_314655,Negative,I was,"so hoping Gritz Cafe would live up to the high ratings I had seen on Yelp. Alas, that level of anticipation and expectation may be what is driving my 2 star review. I found the whole experience to be substandard to any Southern Soul Food dining experience I've had in my travels. The menu was quite limited. Food was not even served on a plate. Everything was dished out on styrofoam plates/containers and the utensils were plastic. I ordered the Mix-n-Match. 2 large fried chicken wings and 2 catfish fillets with greens, grits, and cornbread. The bright spot was the chicken. The greens were also good but I could not find any pepper sauce to accompany them. The cornbread was a light muffin and sweet. The grits were good but seemed to be missing something (butter and heavy cream if I had to guess). Most of the tables in the small dining area were filthy with crumbs from previous diners and no one from the staff seemed to care when I had to clean off my own table and chair before I could sit down. I know we are a long way from the southern states, but this could be so much better."
yelp_train_232602,Positive,I am still,staying here quite often. It is a longer drive to work for me than the Suites downtown but they treat me better than anyone else in town and that is hard to beat and worth a little extra drive time. Zach and the front desk staff are awesome and friendly. They are quick to respond to and resolve any issues you have. The rooms are very nice and have great big flat screens and lots of closet and counter space. The room service is fairly quick and the food always arrives hot and as ordered. The ladies in the coffee bar in the lobby are always busy but always pleasant and efficient. The guys who run us around in vans (it is built cliffside) are sweet and do not make you wait. With it so bloody hot I cannot emphasize enough how well the ac works. Bliss....
yelp_train_312721,Positive,I don't know how this,"keeps happening but I have always lived within a 5-mile radius to In N Out. From our home in Riverside, to Garden Grove, to Orange, to my undergrad college in Irvine and now grad school in Arizona! Coincidence? Or fate? lol. Well I guess thats the reason why I'm not super fanatic about their burgers like some people are, but I'd be lying if I said I didn't crave it once in a while. This location has friendly workers ( I think they all do) and I opt for their animal style fries or their protein burger. Sometimes I'll get a cheeseburger with their fried mustard and pickles. Yup, you read that right, it does exist. I don't know what else is on their \""secret\"" menu but I'm sure if you ask they will tell. I have to limit myself to one burger every 3-4 months though, I get so bloated after eating there lol."
yelp_train_552588,Negative,Horrible,service for a place that is totally empty. Bartender is extremely unfriendly and works at a snails pace. Food menu is from Stop N Shop (Gas Station) across from parking lot. No reason to stop and go inside unless you waiting for food from Roberto's.
yelp_train_462228,Negative,,"Over charged!! 7 dollars extra for pork belly instead of beef, when the plate itself is 10 dollars!!! Dingy dirty place!!! Cheaper at a nice korean or mexican resturaunt... should not call this place korean or mexican food its a really bad version on both! Nothing authentic nor fusion about it!! Not going back"
yelp_train_504883,Positive,,"Love this place! We have stopped in here quite a few times since they have opened and always have a good time. It seems to be our Sunday Funday destination! The bar staff is friendly and personable (we love Heather, Ashley and Dan). The food is unique (sort of like upscale campfire food) and delicious. Oh and Bonfire has THE BEST MACARONI AND CHEESE in town! Hot and bubbly, a Vermont White Cheddar mac and cheese that comes out in a mini cast iron skillet. It is simply amazing! I tried the Pecan Grilled Harris Ranch Burger last night for the first time and it was fantastic. Very juicy and tasty! Hands down one of the best burgers I have had in Scottsdale."
yelp_train_383799,Positive,Get ready,"for a riddle, wrapped in a mystery, inside an enigma. That's pretty much Mystery Adventures in a nutshell. You may be asking yourself what kind of nut has a shell big enough to cram all the fun you'll be enjoying throughout the evening. Well, the answer to that is the group of nutty and creative folks that run this little Mom and Pop outfit. Seriously. The level of detail that went into the storylines and the puzzles and the clues for said puzzles is impressive. To be honest, I wasn't really big on piecing together the plot. Luckily, we had other team members who were into that. I had more fun figuring out computer passwords and lock combinations and things of that nature. Obviously, I won't give anything away. There will be no spoilers in this review. Then again, the mystery changes every so often. In fact, they mentioned that the new story might be ready next month. They are also exploring the idea of recycling past adventures so that you can come back sooner and still try something new to you. If I have one complaint, it's that it sometimes felt like I was missing out on things. At times, while a group of us might be in one room figuring out symbols to open a lock, the people in the other room might be uncovering dead bodies. I'm just kidding. Or am I?"
yelp_train_208899,Negative,Not sure what the,"hype is all About, way overpriced and the pork chili was way to spicy , also was freezing cold inside, not a great dining experience"
yelp_train_126507,Negative,What happened to customer,"service???? Heard good and bad about this place, plus it was on TV so I thought I would try it for myself.  Some friends and I walk in and my first impression is it is a dump. But I don't judge a book by its cover. We sat at the bar and ordered a few beers. Then it went down hill. It was like pulling teeth to get any service there. The bartenders acted like it was a problem to get some beers. After waiting 10 minutes with empty mugs my buddy had to speak up to get another round. Then the bartender came over and told us \""bartenders do not like to be yelled at.\"" Sorry dude, but how about doing your job!! This bartender really had a bad vibe. Not welcoming at all.  We were talking to the couple next to us, they left with out leaving a tip. He said the service is terrible, the waitres was rude. Bad service equals no tip! I can't blame them either.  In the mean time, we had ordered wings and a stromboli. We waited for over an hour for the food. After waiting for the food, and after the poor service at the bar we just decided to leave.  Why was this place on Diners Drive-in and Dives? This place is way over hyped. You can go to any decent pizza joit and get a stromboli. Its a pizza pocket folks.  Bar food in a dirty run down place. Rude bartenders. Poor service. Guy Fieri had one thing right...this place is a dive!"
yelp_train_249,Negative,My friends & I all,"purchased Groupons for the Pittsburgh Improv on or around March 22nd, 2012. At that time, only a few big name comedians were listed on the Improv's website as Special Events. You can use the Groupon on anything that isn't a Special Event. That seemd reasonable. The day the Groupons were purchased, my friend Katrina called & reserved two tickets to Jim Jeffries for 3/30 at 10pm. They allowed her to use her Groupon & gave her a confirmation code & everything! Shortly after, they changed many of the comedians on their website, including Jim Jeffries, to Special Events. When I called I was told I could not use my Groupon. The same thing happened to many of my friends. It's a classic bait & switch. These comedians were NOT Special Events until after the Groupon came out. In addition, other restrictions, such not being able to use the Groupons on Saturdays & having to use the additional four vouchers for one show, were NOT listed under the restrictions when the Groupon was for sale.  So tonight, my friends & I had pretty much resolved ourselves to the fact that we were not going to the Improv because they wouldn't allow us to use our Groupons. But I walked over to the Will Call window with my friend Katrina so she could at least get her tickets. Big surprise - she was told they didn't have her reservation or her name in their computers! They wouldn't give her the tickets. It's an absolute joke of a deal. How is everyone going to use their Groupons by Sept. if all of the shows are Special Events now?  In addition, no one at the Improv answers the phones or responds to emails.  My friends & I (about 10 of us total) are all getting refunds through Groupon and/or our credit card companies & we are all reporting the Improv to the Better Business Bureau, etc.  The Pittsburgh Improv is extremely shady & does not care about their customers."
yelp_train_3174,Negative,A,"very lovely name for a very terrible resturant.  The food is bland, bland bland. How this place can serve such flavorless food and stay open for years is beyond me.  The inside of the resturant is cramped and poorly maintained.  I decided to play it safe and ordered the broccoli in garlic sauce. The sauce was slimy and the broccoli was water logged and over cooked. As if it has set in a pot of luck warm water for hours before being served to me.  I'm noticing a theme of horrible resturants on 6th Street and I don't like it."
yelp_train_541170,Positive,Great,"food and great service! Really enjoyed the New Years Eve dinner special and thought it was really reasonably priced for a three course meal and three beers to accompany each course. The reason I couldn't give five stars was because of the misquoted wait time and the inefficiency of the hostess. We called in when we left our home to get a wait time and put our names on the list and the time was 45 min. It took us twenty minutes to get there and after checking in it was another hour before we were seated. Fortunately, we were out on a date so the extra time waiting was just more time to share laughs and stories but I do believe there should be more of an effort to under promise on wait time and over deliver on the time you get seated.  Once we were seated the rest of the night was above par and we will definitely be going back!"
yelp_train_147328,Negative,Horrible...I'll never,eat at this place again. I found spiders crawling around in my carne Asada fries... Disgusting
yelp_train_242925,Negative,"Troubleshooting was worthless,","and irritating. The service is intermittent. Very frustrated, I have had the same issues with this company in Philadelphia as well..."
yelp_train_59746,Negative,Went,"in on a Friday night at 5:30 and every single table was empty. That was my first clue. The name says \""Saloon\"", no beer on tap. I ordered a bottle of beer and asked for a glass, it was dirty. Wooden window blinds are completely covered in dust. Now let me tell you about the food. I ordered a salad and the lettuce was obviously poured out of a bag. You know the kind, with the little shredded carrots in it. It was stale. My friend ordered potato soup. It was a bowl of boiled potatoes, cut up with a boullion cube added for \""flavor\"". Also had something in it that resembled either undercooked bacon, or maybe it was bacon fat, I dunno. It was gross. She also ordered the Fish and Chips. This looked like a large, deep fried, very overcooked, oozing grease fish stick. It was like an episode of Kitchen Nightmares. Now i know why the place is empty on a Friday evening. I won't be back."
yelp_train_388392,Positive,,"Looking for a bite, or to pick from the vast selection of very tasty smoothies, or a good coffee to start a day, this is your place. The staff is so relaxed and unobtrusive ... And food is descent as well."
yelp_train_66482,Positive,I love eating lunch here!,"I always get the same thing -- sandwich de ropa vieja (shredded beef, #63). The sandwich is delicious and comes with fries. The servings are also really substantive. I usually only end up eating half the sandwich, and take the other half back to work. (This is sort of dumb because I don't think the left over sandwich tastes as good.) Although I've never had it, my peeps from work have also had the Cuban sandwich, which they really liked. Other must orders include tostadas cubanas (toasted bread with butter -- sooooooo not healthy, but soooooooo not relevant or important when you're having some) and maduros (sweet fried plantains).  The service is admittedly slow; the food takes times to come out and the waitress may not be back for awhile to refill your drink or for you to ask for the check. But, as someone else pointed out, it doesn't matter because the food is damn good and makes up for it. Also, the location looks sketch but is totally fine. The restaurant is located inside the Howard Johnson lobby facing LV Blvd; the HoJo is a bit dilapidated. Parking is limited either along the driveway to the back parking lot, or the back parking lot. Once you park, you then have to walk along the driveway (short walk) to the HoJo lobby. Easy!  Although it was not entirely clear, last time I was there, I saw an open lot to the right of the HoJo on LV Blvd that had a Florida Cafe banner. I think that may be a parking lot for the restaurant, but it looked like the lot was unpaved.  Overall, the restaurant is really good and definitely worth a visit. It's brightly decorated and has good music playing. I especially love the ambiance. Almost every time I've been here, I've heard Cubans speaking spanish while eating lunch near my table. To me, that's a grade A sign of a place with good Cuban food."
yelp_train_523262,Negative,So after speaking,"with the sales manager and the general manager I was told they would rectify this and was offered a comped room for my next visit which didn't matter to me because it was my sister in laws last ironman competition and I don't plan on being back in Tempe for a very long time. I was told they would get the charges corrected and they would call me back. Never heard from again. The original miscalculated amount of $500+ was returned to my account and I thought they had changed their minds and comped the room this time (how was I to know, they didn't call) so I think \""oh I have money in my account now\"" then 3 days later they charge me the original amount of 376 and I wake up to a zero balance. Will you please make up your mind???"
yelp_train_374709,Positive,Love this place for HH.,"I am not even sure of the specials, but the beer is cold, service is prompt, and they always get our checks right, even with big parties!"
yelp_train_585520,Positive,The donuts were very,"good, we mostly got standard fare- jelly, sprinkles, chocolate cake, etc. I splurged on some specialty: turtle cheesecake and pumpkin. Pumpkin was a little underwhelming but still tasty. The service was incredible!!! Everyone was happy and enthusiastic. They worked with me on a coworkers special request without hesitation. 9am Friday I had expected the selection to be a bit picked over, but I was not disappointed. I will absolutely go 5 miles out of my way AGAIN to bring these in to work!"
yelp_train_109705,Positive,We were,"enjoying a wonderful margarita when we saw a flight of margaritas go past. So...we ordered 2 flights (6 total little glasses) labeled them and started a serious taste test. Our wonderful bartender, Daniel, assisted us. The winner in the taste test was the Patron margarita. We enjoyed those little shrimp tostada as we tasted. Soooo good."
yelp_train_352124,Positive,"Great selection,","surprisingly reasonable prices for the quality and amount of food you receive. Attentive and knowledgable staff. Most sundaes come with whipped cream, chocolate curls, and what apparently is the chocolatiers piece of chocolate that the sundae was designed after. Lots of flavor milkshakes."
yelp_train_163065,Positive,Just when you think,"you've seen the hottest person in this show, someone even hotter appears. Made me wish I was a 25 year old acrobat!!! As others have said, yes this show is sexy, and yes it explores every nook and cranny -- but it does it with humor 99 percent of the time, which makes it accessible to practically everyone. Remember it's a circus, and ultimately each \""act\"" centers around that type of action. Some acts are more artful in their combining of circus feats and the sexual theme, and others have more of a distinct separation between the two. Nevertheless even when you are mostly watching the acrobatic art, the beauty and high production values of cirque du soleil are always there. Wonderful MC as well. I have only seen one or two Cirque du Soleil shows and have found they usually don't feature much speaking, so that was also fun. The costumes are over the top sensational, not in a \""Beachblanket Babylon\"" way but in an artful fetishy way. Just lovely. Warning: I bought the CD at the gift shop after the show, thinking it was the actual music from the show - the salesperson specifically said as much. On the jacket it says , \""Inspired by Zumanity\"" and that's really what it is. It's not the actual music from the show."
yelp_train_9086,Positive,One,of the best places in Charlotte! The chicken and broccoli was very good! The chicken and shrimp fried rice was good as well. It says 2 people could share one item.....not so sure about that.
